Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
274; 1.03; 0.3886; 61.67; 266.6; 0.444
275; 1.03; 0.3889; 61.72; 267.3; 0.446
276; 1.01; 0.3808; 60.44; 274.0; 0.457
277; 1.0; 0.3788; 60.13; 276.4; 0.461
278; 1.0; 0.3782; 60.03; 277.9; 0.463
279; 1.0; 0.3794; 60.21; 278.0; 0.463
280; 1.01; 0.3804; 60.38; 278.3; 0.464
281; 1.01; 0.381; 60.47; 278.8; 0.465
282; 1.01; 0.382; 60.63; 279.1; 0.465
283; 1.01; 0.3831; 60.81; 279.2; 0.465
284; 1.01; 0.383; 60.8; 280.3; 0.467
285; 1.02; 0.3843; 61.0; 280.3; 0.467
286; 1.02; 0.3856; 61.21; 280.3; 0.467
287; 1.02; 0.3865; 61.35; 280.7; 0.468
288; 1.03; 0.3875; 61.5; 281.0; 0.468
289; 1.03; 0.3883; 61.64; 281.3; 0.469
290; 1.03; 0.3891; 61.77; 281.7; 0.469
291; 1.03; 0.3899; 61.89; 282.1; 0.47
292; 1.03; 0.3895; 61.82; 283.4; 0.472
293; 1.03; 0.3888; 61.71; 284.9; 0.475
294; 1.03; 0.3891; 61.77; 285.6; 0.476
295; 1.03; 0.3904; 61.97; 285.6; 0.476
296; 1.04; 0.3916; 62.16; 285.7; 0.476
297; 1.04; 0.3924; 62.29; 286.1; 0.477
298; 1.04; 0.3937; 62.48; 286.2; 0.477
299; 1.04; 0.3927; 62.33; 287.8; 0.48
300; 1.04; 0.3936; 62.48; 288.1; 0.48
301; 1.04; 0.3947; 62.66; 288.2; 0.48
302; 1.04; 0.3948; 62.67; 289.1; 0.482
303; 1.04; 0.3938; 62.51; 290.8; 0.485
304; 1.04; 0.3941; 62.56; 291.6; 0.486
305; 1.05; 0.3953; 62.74; 291.7; 0.486
306; 1.05; 0.3955; 62.78; 292.4; 0.487
307; 1.05; 0.3966; 62.95; 292.6; 0.488
308; 1.05; 0.3963; 62.9; 293.8; 0.49
309; 1.04; 0.3946; 62.64; 296.0; 0.493
310; 1.05; 0.3951; 62.72; 296.6; 0.494
311; 1.05; 0.3958; 62.82; 297.0; 0.495
312; 1.05; 0.396; 62.86; 297.8; 0.496
313; 1.05; 0.3962; 62.88; 298.7; 0.498
314; 1.04; 0.3938; 62.52; 301.4; 0.502
315; 1.04; 0.3949; 62.68; 301.5; 0.503
316; 1.05; 0.395; 62.7; 302.4; 0.504
317; 1.04; 0.3916; 62.16; 306.0; 0.51
318; 1.04; 0.3916; 62.16; 307.0; 0.512
319; 1.04; 0.3925; 62.3; 307.2; 0.512
320; 1.04; 0.3924; 62.28; 308.3; 0.514
321; 1.04; 0.3914; 62.13; 310.0; 0.517
