Impulz; Pulz/Sekunda; uSv/h; Pulz/Minuta; Sekunda měření; % do konce
264; 0.5; 0.1873; 29.73; 532.9; 0.888
265; 0.5; 0.1872; 29.71; 535.1; 0.892
266; 0.5; 0.1879; 29.82; 535.1; 0.892
267; 0.5; 0.1885; 29.92; 535.4; 0.892
268; 0.5; 0.1884; 29.91; 537.7; 0.896
269; 0.5; 0.1891; 30.01; 537.8; 0.896
270; 0.5; 0.1889; 29.99; 540.2; 0.9
271; 0.5; 0.1895; 30.07; 540.7; 0.901
272; 0.5; 0.19; 30.17; 541.0; 0.902
273; 0.5; 0.19; 30.16; 543.1; 0.905
274; 0.5; 0.1902; 30.2; 544.4; 0.907
275; 0.5; 0.1902; 30.19; 546.6; 0.911
276; 0.5; 0.1904; 30.22; 548.1; 0.913
277; 0.5; 0.1902; 30.19; 550.5; 0.917
278; 0.5; 0.1904; 30.22; 552.0; 0.92
279; 0.5; 0.1903; 30.21; 554.2; 0.924
280; 0.51; 0.191; 30.31; 554.2; 0.924
281; 0.51; 0.1911; 30.34; 555.7; 0.926
282; 0.5; 0.1907; 30.27; 559.1; 0.932
283; 0.5; 0.1905; 30.24; 561.5; 0.936
284; 0.5; 0.1905; 30.24; 563.5; 0.939
285; 0.5; 0.1909; 30.29; 564.5; 0.941
286; 0.5; 0.1908; 30.29; 566.5; 0.944
287; 0.51; 0.1914; 30.38; 566.9; 0.945
288; 0.51; 0.1916; 30.41; 568.2; 0.947
289; 0.51; 0.192; 30.47; 569.1; 0.948
290; 0.51; 0.1924; 30.54; 569.7; 0.95
291; 0.51; 0.193; 30.64; 569.9; 0.95
292; 0.51; 0.1929; 30.61; 572.3; 0.954
293; 0.51; 0.1934; 30.69; 572.8; 0.955
294; 0.51; 0.1927; 30.59; 576.6; 0.961
295; 0.51; 0.191; 30.31; 583.9; 0.973
296; 0.5; 0.189; 29.99; 592.1; 0.987
297; 0.5; 0.1892; 30.04; 593.2; 0.989
298; 0.5; 0.1899; 30.14; 593.2; 0.989
299; 0.5; 0.1903; 30.21; 593.8; 0.99
300; 0.5; 0.1893; 30.05; 599.0; 0.998
